# Time_s          Activity_Bq       Sigma_Bq
0.000000e+00      6.495123e+14      1.300000e+13
2.000000e+04      5.312014e+14      1.300000e+13
4.000000e+04      4.215099e+14      1.300000e+13
6.000000e+04      3.551128e+14      1.300000e+13
8.000000e+04      2.990141e+14      1.300000e+13
1.000000e+05      2.411005e+14      1.300000e+13
1.200000e+05      2.054321e+14      1.300000e+13
1.400000e+05      1.731109e+14      1.300000e+13
1.600000e+05      1.324512e+14      1.300000e+13
1.800000e+05      1.189012e+14      1.300000e+13
2.000000e+05      9.012450e+13      1.300000e+13
2.200000e+05      8.214090e+13      1.300000e+13
2.400000e+05      6.011240e+13      1.300000e+13
2.600000e+05      5.541290e+13      1.300000e+13
2.800000e+05      4.120010e+13      1.300000e+13
3.000000e+05      3.951120e+13      1.300000e+13
